participant_code,task,block,trial_index,trial_type,valence,image,stim_dur_s,isi_s,response_key,rt_s,accuracy,device,n_channels,sampling_rate_hz,reference,montage_description,roi_n100,roi_p300,roi_lpp
A003,oddball,oddball,1,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,2,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,3,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,4,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,5,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,6,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,7,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,8,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,9,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
A003,oddball,oddball,10,standard,neutral_task,C:\Users\ionut\OneDrive\Desktop\licenta\Experiment COD\stimuli\oddball\standard_checkerboard.jpg,1.0,2.0,,,1,Unicorn Hybrid Black,8,250,L/R mastoids,"Fz,C3,Cz,C4,Pz,PO7,Oz,PO8","PO7,Oz,PO8",Pz,Pz
