image,valence
stimuli/positive/pos_001.jpg,positive
stimuli/positive/pos_002.jpg,positive
stimuli/positive/pos_003.jpg,positive
stimuli/positive/pos_004.jpg,positive
stimuli/positive/pos_005.jpg,positive
stimuli/positive/pos_006.jpg,positive
stimuli/positive/pos_007.jpg,positive
stimuli/positive/pos_008.jpg,positive
stimuli/positive/pos_009.jpg,positive
stimuli/positive/pos_010.jpg,positive
stimuli/positive/pos_011.jpg,positive
stimuli/positive/pos_012.jpg,positive
stimuli/positive/pos_013.jpg,positive
stimuli/positive/pos_014.jpg,positive
stimuli/positive/pos_015.jpg,positive
stimuli/positive/pos_016.jpg,positive
stimuli/positive/pos_017.jpg,positive
stimuli/positive/pos_018.jpg,positive
stimuli/positive/pos_019.jpg,positive
stimuli/positive/pos_020.jpg,positive
stimuli/positive/pos_021.jpg,positive
stimuli/positive/pos_022.jpg,positive
stimuli/positive/pos_023.jpg,positive
stimuli/positive/pos_024.jpg,positive
stimuli/positive/pos_025.jpg,positive
stimuli/positive/pos_026.jpg,positive
stimuli/positive/pos_027.jpg,positive
stimuli/positive/pos_028.jpg,positive
stimuli/positive/pos_029.jpg,positive
stimuli/positive/pos_030.jpg,positive
stimuli/neutral/neu_001.jpg,neutral
stimuli/neutral/neu_002.jpg,neutral
stimuli/neutral/neu_003.jpg,neutral
stimuli/neutral/neu_004.jpg,neutral
stimuli/neutral/neu_005.jpg,neutral
stimuli/neutral/neu_006.jpg,neutral
stimuli/neutral/neu_007.jpg,neutral
stimuli/neutral/neu_008.jpg,neutral
stimuli/neutral/neu_009.jpg,neutral
stimuli/neutral/neu_010.jpg,neutral
stimuli/neutral/neu_011.jpg,neutral
stimuli/neutral/neu_012.jpg,neutral
stimuli/neutral/neu_013.jpg,neutral
stimuli/neutral/neu_014.jpg,neutral
stimuli/neutral/neu_015.jpg,neutral
stimuli/neutral/neu_016.jpg,neutral
stimuli/neutral/neu_017.jpg,neutral
stimuli/neutral/neu_018.jpg,neutral
stimuli/neutral/neu_019.jpg,neutral
stimuli/neutral/neu_020.jpg,neutral
stimuli/neutral/neu_021.jpg,neutral
stimuli/neutral/neu_022.jpg,neutral
stimuli/neutral/neu_023.jpg,neutral
stimuli/neutral/neu_024.jpg,neutral
stimuli/neutral/neu_025.jpg,neutral
stimuli/neutral/neu_026.jpg,neutral
stimuli/neutral/neu_027.jpg,neutral
stimuli/neutral/neu_028.jpg,neutral
stimuli/neutral/neu_029.jpg,neutral
stimuli/neutral/neu_030.jpg,neutral
stimuli/negative/neg_001.jpg,negative
stimuli/negative/neg_002.jpg,negative
stimuli/negative/neg_003.jpg,negative
stimuli/negative/neg_004.jpg,negative
stimuli/negative/neg_005.jpg,negative
stimuli/negative/neg_006.jpg,negative
stimuli/negative/neg_007.jpg,negative
stimuli/negative/neg_008.jpg,negative
stimuli/negative/neg_009.jpg,negative
stimuli/negative/neg_010.jpg,negative
stimuli/negative/neg_011.jpg,negative
stimuli/negative/neg_012.jpg,negative
stimuli/negative/neg_013.jpg,negative
stimuli/negative/neg_014.jpg,negative
stimuli/negative/neg_015.jpg,negative
stimuli/negative/neg_016.jpg,negative
stimuli/negative/neg_017.jpg,negative
stimuli/negative/neg_018.jpg,negative
stimuli/negative/neg_019.jpg,negative
stimuli/negative/neg_020.jpg,negative
stimuli/negative/neg_021.jpg,negative
stimuli/negative/neg_022.jpg,negative
stimuli/negative/neg_023.jpg,negative
stimuli/negative/neg_024.jpg,negative
stimuli/negative/neg_025.jpg,negative
stimuli/negative/neg_026.jpg,negative
stimuli/negative/neg_027.jpg,negative
stimuli/negative/neg_028.jpg,negative
stimuli/negative/neg_029.jpg,negative
stimuli/negative/neg_030.jpg,negative
